Component,Purpose,Key Files,Tech,Inputs,Outputs,Business Impact
Backend API,Serve chat and ingestion endpoints,"backend/app.py",FastAPI+Uvicorn,"HTTP requests","JSON responses and SSE streaming","Enables RAG interactions via simple endpoints"
Ingest Pipeline,Load PDFs and create chunks,"backend/rag_pipeline.py",PyPDFLoader; pdfplumber; RecursiveCharacterTextSplitter,"PDF paths","Document chunks and index status","Prepares corpus for retrieval"
Embeddings,Generate vectors for semantic search,"backend/rag_pipeline.py",sentence-transformers (HuggingFace) with local fallback,"Texts","Embedding vectors","Foundation for similarity search"
Vector Store,Persist and query the index,"backend/vector_store.py",FAISS via LangChain,"Vectors / documents","Persisted index and similarity search","Fast retrieval and reproducibility"
Retrieval & Answering,Retrieve top docs and format bullet answers,"backend/rag_pipeline.py",Custom formatter without external LLM,"Query + retrieved docs","Structured bullet-point answer + sources","Grounded, professional summaries"
Streaming SSE,Stream tokens to UI like ChatGPT,"backend/app.py",FastAPI StreamingResponse,"Question","Server-Sent Events tokens + sources","Smooth user experience"
Frontend UI,Render chat and controls,"frontend/index.html; frontend/js/app.js; frontend/css/style.css",HTML/CSS/JS,"User input","Bubbled messages; sources; copy/download","Simple UX to ingest and ask"
Source Citations,Show file and page for each answer,"backend/app.py; backend/rag_pipeline.py; frontend/js/app.js",Python+JS,"Document metadata","Clean source list","Academic-grade traceability"
Chat History,Persist conversation across reloads,"frontend/js/app.js",localStorage,"Messages","Restored chat state","Continuity for users"
Download as PDF,Export a single answer,"frontend/js/app.js",Browser print,"Answer text + sources","Saved PDF","Easy sharing of results"
Admin Analytics,Monitor index and recent queries,"backend/app.py; frontend/admin.html; frontend/js/admin.js",FastAPI+HTML/JS,"Status; query logs","Indexed stats; recent queries","Operational observability"
Health & Status,Quick diagnostics,"backend/app.py",FastAPI,"GET /health; GET /status","OK flags and index info","Faster debugging"
Ingestion Controls,Trigger index build via UI,"backend/app.py; frontend/js/app.js",FastAPI+JS,"POST /ingest","Indexed chunks count","One-click rebuild"
Configuration,Set paths and flags,"backend/config.py; .env",python-dotenv,"Env variables","Resolved directories and settings","Flexible deployment"
Run Commands,Start local server,N/A,Uvicorn,N/A,"http://127.0.0.1:8020/ui/","One-command local run"
